label,timestamp,protocol,src,sport,dst,dport,size
Web Server,1535760000.0,TCP,10.0.0.1,5024,246.141.134.120,443,157
Web Server,1535760001.9136586,TCP,10.0.0.1,5024,246.141.134.120,443,318
Web Server,1535760004.0274544,TCP,10.0.0.1,5024,246.141.134.120,443,253
Web Server,1535760005.9562185,TCP,10.0.0.1,5024,246.141.134.120,443,194
Web Server,1535760007.9928725,TCP,10.0.0.1,5024,246.141.134.120,443,71
Web Server,1535760010.1164262,TCP,10.0.0.1,5024,246.141.134.120,443,182
Web Server,1535760012.1178946,TCP,10.0.0.1,5024,246.141.134.120,443,151
Web Server,1535760014.1168084,TCP,10.0.0.1,5024,246.141.134.120,443,235
Web Server,1535760016.0420609,TCP,10.0.0.1,5024,246.141.134.120,443,235
Web Server,1535760018.103653,TCP,10.0.0.1,5024,246.141.134.120,443,141
Web Server,1535760020.1861625,TCP,10.0.0.1,5024,246.141.134.120,443,225
Web Server,1535760021.948182,TCP,10.0.0.1,5024,246.141.134.120,443,282
Web Server,1535760023.9194887,TCP,10.0.0.1,5024,246.141.134.120,443,262
Web Server,1535760026.0168073,TCP,10.0.0.1,5024,246.141.134.120,443,229
Web Server,1535760028.1404777,TCP,10.0.0.1,5024,246.141.134.120,443,187
Web Server,1535760030.1945975,TCP,10.0.0.1,5024,246.141.134.120,443,173
Web Server,1535760032.11543,TCP,10.0.0.1,5024,246.141.134.120,443,153
Web Server,1535760034.0939052,TCP,10.0.0.1,5024,246.141.134.120,443,202
Web Server,1535760036.0308497,TCP,10.0.0.1,5024,246.141.134.120,443,146
Web Server,1535760037.9944484,TCP,10.0.0.1,5024,246.141.134.120,443,267
Web Server,1535760039.9804072,TCP,10.0.0.1,5024,246.141.134.120,443,174
Web Server,1535760042.0062985,TCP,10.0.0.1,5024,246.141.134.120,443,138
Web Server,1535760043.9865782,TCP,10.0.0.1,5024,246.141.134.120,443,178
Web Server,1535760045.9570396,TCP,10.0.0.1,5024,246.141.134.120,443,199
Web Server,1535760047.9260619,TCP,10.0.0.1,5024,246.141.134.120,443,224
Web Server,1535760049.9536972,TCP,10.0.0.1,5024,246.141.134.120,443,153
Web Server,1535760051.9113503,TCP,10.0.0.1,5024,246.141.134.120,443,202
Web Server,1535760053.8179033,TCP,10.0.0.1,5024,246.141.134.120,443,164
Web Server,1535760055.7590134,TCP,10.0.0.1,5024,246.141.134.120,443,220
Web Server,1535760057.7419157,TCP,10.0.0.1,5024,246.141.134.120,443,124
Web Server,1535760059.8669295,TCP,10.0.0.1,5024,246.141.134.120,443,150
Web Server,1535760061.9295263,TCP,10.0.0.1,5024,246.141.134.120,443,104
Web Server,1535760119.53647,TCP,10.0.0.1,35135,246.141.134.157,443,241
Web Server,1535760121.5258222,TCP,10.0.0.1,35135,246.141.134.157,443,263
Web Server,1535760123.5446002,TCP,10.0.0.1,35135,246.141.134.157,443,178
Web Server,1535760125.3927486,TCP,10.0.0.1,35135,246.141.134.157,443,104
Web Server,1535760127.5261364,TCP,10.0.0.1,35135,246.141.134.157,443,241
Web Server,1535760129.4789188,TCP,10.0.0.1,35135,246.141.134.157,443,142
Web Server,1535760131.4987338,TCP,10.0.0.1,35135,246.141.134.157,443,141
Web Server,1535760133.4870398,TCP,10.0.0.1,35135,246.141.134.157,443,187
Web Server,1535760135.5665524,TCP,10.0.0.1,35135,246.141.134.157,443,179
Web Server,1535760137.3799465,TCP,10.0.0.1,35135,246.141.134.157,443,216
Web Server,1535760139.488877,TCP,10.0.0.1,35135,246.141.134.157,443,200
Web Server,1535760141.517617,TCP,10.0.0.1,35135,246.141.134.157,443,241
Web Server,1535760143.4279969,TCP,10.0.0.1,35135,246.141.134.157,443,145
Web Server,1535760145.5988338,TCP,10.0.0.1,35135,246.141.134.157,443,52
Web Server,1535760147.5341995,TCP,10.0.0.1,35135,246.141.134.157,443,133
Web Server,1535760149.4350927,TCP,10.0.0.1,35135,246.141.134.157,443,249
Web Server,1535760151.5762765,TCP,10.0.0.1,35135,246.141.134.157,443,192
Web Server,1535760153.457534,TCP,10.0.0.1,35135,246.141.134.157,443,203
Web Server,1535760155.510049,TCP,10.0.0.1,35135,246.141.134.157,443,191
Web Server,1535760157.5444698,TCP,10.0.0.1,35135,246.141.134.157,443,236
Web Server,1535760159.454092,TCP,10.0.0.1,35135,246.141.134.157,443,213
Web Server,1535760161.4596121,TCP,10.0.0.1,35135,246.141.134.157,443,43
Web Server,1535760163.4740684,TCP,10.0.0.1,35135,246.141.134.157,443,131
Web Server,1535760165.4607816,TCP,10.0.0.1,35135,246.141.134.157,443,99
Web Server,1535760167.532887,TCP,10.0.0.1,35135,246.141.134.157,443,154
Web Server,1535760169.510941,TCP,10.0.0.1,35135,246.141.134.157,443,155
Web Server,1535760171.4164438,TCP,10.0.0.1,35135,246.141.134.157,443,171
Web Server,1535760173.3784869,TCP,10.0.0.1,35135,246.141.134.157,443,186
Web Server,1535760175.328684,TCP,10.0.0.1,35135,246.141.134.157,443,176
Web Server,1535760177.4172585,TCP,10.0.0.1,35135,246.141.134.157,443,136
Web Server,1535760179.4960701,TCP,10.0.0.1,35135,246.141.134.157,443,141
Web Server,1535760181.5141063,TCP,10.0.0.1,35135,246.141.134.157,443,216
Web Server,1535760183.542853,TCP,10.0.0.1,35135,246.141.134.157,443,213
Web Server,1535760267.9002514,TCP,10.0.0.1,41104,246.141.134.120,443,106
Web Server,1535760270.0084887,TCP,10.0.0.1,41104,246.141.134.120,443,238
Web Server,1535760272.0856605,TCP,10.0.0.1,41104,246.141.134.120,443,214
Web Server,1535760274.182855,TCP,10.0.0.1,41104,246.141.134.120,443,199
Web Server,1535760276.1466174,TCP,10.0.0.1,41104,246.141.134.120,443,253
Web Server,1535760278.1517987,TCP,10.0.0.1,41104,246.141.134.120,443,220
Web Server,1535760280.0731912,TCP,10.0.0.1,41104,246.141.134.120,443,161
Web Server,1535760282.2161086,TCP,10.0.0.1,41104,246.141.134.120,443,183
Web Server,1535760284.3699024,TCP,10.0.0.1,41104,246.141.134.120,443,105
Web Server,1535760286.466468,TCP,10.0.0.1,41104,246.141.134.120,443,295
Web Server,1535760288.4177034,TCP,10.0.0.1,41104,246.141.134.120,443,171
Web Server,1535760290.4218173,TCP,10.0.0.1,41104,246.141.134.120,443,216
Web Server,1535760292.29595,TCP,10.0.0.1,41104,246.141.134.120,443,203
Web Server,1535760294.4333394,TCP,10.0.0.1,41104,246.141.134.120,443,229
Web Server,1535760296.5618505,TCP,10.0.0.1,41104,246.141.134.120,443,168
Web Server,1535760298.4206858,TCP,10.0.0.1,41104,246.141.134.120,443,79
Web Server,1535760300.4073906,TCP,10.0.0.1,41104,246.141.134.120,443,192
Web Server,1535760302.0823698,TCP,10.0.0.1,41104,246.141.134.120,443,87
Web Server,1535760304.035487,TCP,10.0.0.1,41104,246.141.134.120,443,161
Web Server,1535760306.0083904,TCP,10.0.0.1,41104,246.141.134.120,443,263
Web Server,1535760308.0002582,TCP,10.0.0.1,41104,246.141.134.120,443,87
Web Server,1535760310.0258708,TCP,10.0.0.1,41104,246.141.134.120,443,126
Web Server,1535760312.1034918,TCP,10.0.0.1,41104,246.141.134.120,443,119
Web Server,1535760313.909927,TCP,10.0.0.1,41104,246.141.134.120,443,228
Web Server,1535760315.8637643,TCP,10.0.0.1,41104,246.141.134.120,443,104
Web Server,1535760317.9702516,TCP,10.0.0.1,41104,246.141.134.120,443,203
Web Server,1535760319.8863707,TCP,10.0.0.1,41104,246.141.134.120,443,189
Web Server,1535760321.778772,TCP,10.0.0.1,41104,246.141.134.120,443,134
Web Server,1535760323.9074514,TCP,10.0.0.1,41104,246.141.134.120,443,152
Web Server,1535760325.8289475,TCP,10.0.0.1,41104,246.141.134.120,443,172
Web Server,1535760364.9287233,TCP,10.0.0.1,13162,246.141.134.129,443,187
Web Server,1535760367.0919826,TCP,10.0.0.1,13162,246.141.134.129,443,227
Web Server,1535760369.1690137,TCP,10.0.0.1,13162,246.141.134.129,443,156
Web Server,1535760371.192493,TCP,10.0.0.1,13162,246.141.134.129,443,150
Web Server,1535760373.1196957,TCP,10.0.0.1,13162,246.141.134.129,443,269
Web Server,1535760375.3102803,TCP,10.0.0.1,13162,246.141.134.129,443,198
Web Server,1535760377.4590425,TCP,10.0.0.1,13162,246.141.134.129,443,268
Web Server,1535760379.5283284,TCP,10.0.0.1,13162,246.141.134.129,443,240
Web Server,1535760381.5750196,TCP,10.0.0.1,13162,246.141.134.129,443,262
Web Server,1535760383.5187044,TCP,10.0.0.1,13162,246.141.134.129,443,184
Web Server,1535760385.5769782,TCP,10.0.0.1,13162,246.141.134.129,443,240
