label,timestamp,protocol,src,sport,dst,dport,size
?,1535760000.0,TCP,10.0.0.1,5024,246.141.134.120,443,194
?,1535760001.7879279,TCP,10.0.0.1,5024,246.141.134.120,443,212
?,1535760003.7832665,TCP,10.0.0.1,5024,246.141.134.120,443,201
?,1535760005.6614435,TCP,10.0.0.1,5024,246.141.134.120,443,182
?,1535760007.5404012,TCP,10.0.0.1,5024,246.141.134.120,443,238
?,1535760009.5666654,TCP,10.0.0.1,5024,246.141.134.120,443,140
?,1535760011.6747222,TCP,10.0.0.1,5024,246.141.134.120,443,139
?,1535760013.8691404,TCP,10.0.0.1,5024,246.141.134.120,443,169
?,1535760015.8422425,TCP,10.0.0.1,5024,246.141.134.120,443,139
?,1535760017.8840296,TCP,10.0.0.1,5024,246.141.134.120,443,149
?,1535760019.8890398,TCP,10.0.0.1,5024,246.141.134.120,443,100
?,1535760021.8436267,TCP,10.0.0.1,5024,246.141.134.120,443,265
?,1535760023.832475,TCP,10.0.0.1,5024,246.141.134.120,443,261
?,1535760025.804029,TCP,10.0.0.1,5024,246.141.134.120,443,180
?,1535760027.8347578,TCP,10.0.0.1,5024,246.141.134.120,443,155
?,1535760029.8470306,TCP,10.0.0.1,5024,246.141.134.120,443,138
?,1535760031.833905,TCP,10.0.0.1,5024,246.141.134.120,443,149
?,1535760033.8494558,TCP,10.0.0.1,5024,246.141.134.120,443,125
?,1535760035.8372824,TCP,10.0.0.1,5024,246.141.134.120,443,184
?,1535760037.888895,TCP,10.0.0.1,5024,246.141.134.120,443,197
?,1535760039.835918,TCP,10.0.0.1,5024,246.141.134.120,443,148
?,1535760041.7966287,TCP,10.0.0.1,5024,246.141.134.120,443,155
?,1535760043.6691446,TCP,10.0.0.1,5024,246.141.134.120,443,133
?,1535760045.6375887,TCP,10.0.0.1,5024,246.141.134.120,443,195
?,1535760047.5637043,TCP,10.0.0.1,5024,246.141.134.120,443,247
?,1535760049.6271555,TCP,10.0.0.1,5024,246.141.134.120,443,181
?,1535760051.5829666,TCP,10.0.0.1,5024,246.141.134.120,443,140
?,1535760053.6452885,TCP,10.0.0.1,5024,246.141.134.120,443,165
?,1535760055.7339745,TCP,10.0.0.1,5024,246.141.134.120,443,186
?,1535760057.7181392,TCP,10.0.0.1,5024,246.141.134.120,443,198
?,1535760059.5137768,TCP,10.0.0.1,5024,246.141.134.120,443,156
?,1535760066.9831984,TCP,10.0.0.1,35135,246.141.134.157,443,208
?,1535760069.2117798,TCP,10.0.0.1,35135,246.141.134.157,443,200
?,1535760071.3071136,TCP,10.0.0.1,35135,246.141.134.157,443,233
?,1535760073.2668984,TCP,10.0.0.1,35135,246.141.134.157,443,180
